Customer ID,Customer_State,Customer_Zipcode,Customer_Latitude,Customer_Longitude,Tableau_FK
Customer 103,California,90064,34.0365,-118.4251,Blend
Customer 104,California,90065,34.1087,-118.2267,Blend
Customer 105,California,90066,34.0015,-118.4307,Blend
Customer 106,California,90067,34.0565,-118.4142,Blend
Customer 107,California,90068,34.1264,-118.3306,Blend
Customer 108,California,90069,34.0939,-118.3816,Blend
Customer 109,California,90073,34.0618,-118.3016,Blend
Customer 110,California,90074,33.9757,-118.2564,Blend
Customer 111,California,90077,34.1051,-118.4544,Blend
Customer 112,California,90089,34.0218,-118.2871,Blend
Customer 113,California,90095,34.0655,-118.4423,Blend
Customer 114,California,90201,33.9682,-118.1714,Blend
Customer 115,California,90210,34.1026,-118.4148,Blend
Customer 116,California,90211,34.0651,-118.383,Blend
Customer 117,California,90212,34.0621,-118.4024,Blend
Customer 118,California,90220,33.8798,-118.2361,Blend
Customer 119,California,90221,33.885,-118.2061,Blend
Customer 120,California,90222,33.9123,-118.236,Blend
Customer 121,California,90230,33.9954,-118.3974,Blend
Customer 122,California,90232,34.0182,-118.393,Blend
Customer 123,California,90240,33.9564,-118.1178,Blend
Customer 124,California,90241,33.9407,-118.1313,Blend
Customer 125,California,90242,33.9216,-118.1415,Blend
Customer 126,California,90245,33.9207,-118.4008,Blend
Customer 127,California,90247,33.891,-118.2975,Blend
Customer 128,California,90250,33.9147,-118.3491,Blend
Customer 129,California,90254,33.8653,-118.3963,Blend
Customer 130,California,90255,33.977,-118.2172,Blend
Customer 131,California,90260,33.8882,-118.351,Blend
Customer 132,California,90262,33.9234,-118.2005,Blend
Customer 133,California,90265,34.0696,-118.8314,Blend
Customer 134,California,90266,33.8925,-118.4,Blend
Customer 135,California,90272,34.0621,-118.5412,Blend
Customer 136,California,90274,33.7762,-118.3707,Blend
Customer 137,California,90275,33.7866,-118.2987,Blend
Customer 138,California,90277,33.8303,-118.3838,Blend
Customer 139,California,90278,33.8731,-118.3708,Blend
Customer 140,California,90280,33.9431,-118.1916,Blend
Customer 141,California,90290,34.0975,-118.5993,Blend
Customer 142,California,90291,33.994,-118.4633,Blend
Customer 143,California,90292,33.9701,-118.4463,Blend
Customer 144,California,90301,33.9568,-118.3561,Blend
Customer 145,California,90302,33.9743,-118.3536,Blend
Customer 146,California,90305,33.9586,-118.3281,Blend
Customer 147,California,90402,34.0356,-118.5036,Blend
Customer 148,California,90403,34.0312,-118.4899,Blend
Customer 149,California,90404,34.0266,-118.4737,Blend
Customer 150,California,90405,34.0119,-118.4679,Blend
Customer 151,California,90411,34.0192,-118.4966,Blend
Customer 152,California,90501,33.8318,-118.3138,Blend
Customer 153,California,90502,33.8363,-118.293,Blend
Customer 154,California,90503,33.8412,-118.3537,Blend
Customer 155,California,90504,33.866,-118.3308,Blend
Customer 156,California,90505,33.8092,-118.348,Blend
Customer 157,California,90508,33.8339,-118.3153,Blend
Customer 158,California,90509,33.8295,-118.3289,Blend
Customer 159,California,90510,33.8295,-118.3289,Blend
Customer 160,California,90601,34.0078,-118.0342,Blend
Customer 161,California,90602,33.9705,-118.0252,Blend
Customer 162,California,90603,33.9458,-117.9916,Blend
Customer 163,California,90604,33.93,-118.0123,Blend
Customer 164,California,90605,33.9577,-118.0183,Blend
Customer 165,California,90606,33.9766,-118.0664,Blend
Customer 166,California,90608,33.9807,-118.035,Blend
Customer 167,California,90609,33.9449,-117.9993,Blend
Customer 168,California,90620,33.8461,-118.0117,Blend
Customer 169,California,90621,33.8747,-117.9926,Blend
Customer 170,California,90623,33.8505,-118.0413,Blend
Customer 171,California,90630,33.817,-118.0386,Blend
Customer 172,California,90631,33.9425,-117.9512,Blend
Customer 173,California,90638,33.9016,-118.0116,Blend
Customer 174,California,90640,34.0129,-118.1133,Blend
Customer 175,California,90650,33.9065,-118.0804,Blend
Customer 176,California,90660,33.9903,-118.0894,Blend
Customer 177,California,90670,33.9462,-118.0711,Blend
Customer 178,California,90701,33.8675,-118.0802,Blend
Customer 179,California,90703,33.8682,-118.067,Blend
Customer 180,California,90706,33.8876,-118.127,Blend
Customer 181,California,90710,33.796,-118.2994,Blend
Customer 182,California,90711,33.8602,-118.1438,Blend
Customer 183,California,90712,33.8473,-118.1477,Blend
Customer 184,California,90716,33.8301,-118.073,Blend
Customer 185,California,90717,33.7852,-118.3166,Blend
Customer 186,California,90720,33.7968,-118.0667,Blend
Customer 187,California,90723,33.8968,-118.1648,Blend
Customer 188,California,90731,33.7339,-118.2914,Blend
Customer 189,California,90732,33.7338,-118.3149,Blend
Customer 190,California,90740,33.76,-118.0775,Blend
Customer 191,California,90744,33.7815,-118.2594,Blend
Customer 192,California,90745,33.8223,-118.2628,Blend
Customer 193,California,90755,33.8043,-118.1654,Blend
Customer 194,California,90801,33.7706,-118.1893,Blend
Customer 195,California,90802,33.7358,-118.1941,Blend
Customer 196,California,90803,33.7619,-118.1245,Blend
Customer 197,California,90804,33.7819,-118.1485,Blend
Customer 198,California,90805,33.865,-118.1802,Blend
Customer 199,California,90806,33.8035,-118.1935,Blend
Customer 200,California,90807,33.8293,-118.1794,Blend
Customer 201,California,90808,33.8232,-118.1158,Blend
Customer 202,California,90813,33.7819,-118.1971,Blend
Customer 203,California,90815,33.795,-118.1164,Blend
Customer 204,California,90822,33.7688,-118.194,Blend
Customer 205,California,91001,34.2259,-118.113,Blend
Customer 206,California,91006,34.1501,-118.028,Blend
Customer 207,California,91007,34.1288,-118.0487,Blend
Customer 208,California,91010,34.151,-117.954,Blend
Customer 209,California,91011,34.2249,-118.2021,Blend
Customer 210,California,91016,34.1684,-117.9967,Blend
Customer 211,California,91030,34.1102,-118.1573,Blend
Customer 212,California,91066,34.1412,-118.0301,Blend
Customer 213,California,91101,34.1468,-118.1392,Blend
Customer 214,California,91103,34.167,-118.1642,Blend
Customer 215,California,91104,34.1679,-118.1235,Blend
Customer 216,California,91105,34.1412,-118.1691,Blend
Customer 217,California,91106,34.1386,-118.1273,Blend
Customer 218,California,91107,34.1958,-118.0669,Blend
Customer 219,California,91108,34.122,-118.1138,Blend
Customer 220,California,91109,34.1841,-118.1702,Blend
Customer 221,California,91115,34.1358,-118.1525,Blend
Customer 222,California,91126,34.1359,-118.1258,Blend
Customer 223,California,91188,34.1495,-118.1424,Blend
Customer 224,California,91202,34.1693,-118.268,Blend
Customer 225,California,91203,34.1527,-118.2642,Blend
Customer 226,California,91204,34.136,-118.2606,Blend
Customer 227,California,91205,34.1355,-118.2439,Blend
Customer 228,California,91206,34.1618,-118.2159,Blend
Customer 229,California,91208,34.1996,-118.2521,Blend
Customer 230,California,91214,34.2363,-118.2466,Blend
Customer 231,California,91301,34.1292,-118.761,Blend
Customer 232,California,91302,34.122,-118.6785,Blend
Customer 233,California,91303,34.1979,-118.6016,Blend
Customer 234,California,91304,34.2253,-118.6338,Blend
Customer 235,California,91306,34.2097,-118.5756,Blend
Customer 236,California,91307,34.2014,-118.6906,Blend
Customer 237,California,91311,34.303,-118.6146,Blend
Customer 238,California,91316,34.1632,-118.5153,Blend
Customer 239,California,91321,34.366,-118.5044,Blend
Customer 240,California,91324,34.2386,-118.5502,Blend
Customer 241,California,91325,34.2372,-118.5186,Blend
Customer 242,California,91326,34.287,-118.5572,Blend
Customer 243,California,91328,34.2434,-118.5361,Blend
Customer 244,California,91331,34.256,-118.4198,Blend
Customer 245,California,91335,34.2012,-118.5406,Blend
Customer 246,California,91340,34.2865,-118.4351,Blend
Customer 247,California,91342,34.3217,-118.3792,Blend
Customer 248,California,91343,34.2373,-118.481,Blend
Customer 249,California,91344,34.2878,-118.5068,Blend
Customer 250,California,91345,34.2656,-118.4599,Blend
Customer 251,California,91350,34.444,-118.5069,Blend
Customer 252,California,91351,34.4321,-118.4648,Blend
Customer 253,California,91352,34.2316,-118.3578,Blend
Customer 254,California,91354,34.4526,-118.5542,Blend
Customer 255,California,91355,34.4252,-118.5767,Blend
Customer 256,California,91356,34.1495,-118.5479,Blend
Customer 257,California,91360,34.2117,-118.8739,Blend
Customer 258,California,91361,34.1405,-118.8734,Blend
Customer 259,California,91362,34.1948,-118.8145,Blend
Customer 260,California,91364,34.1554,-118.5956,Blend
Customer 261,California,91365,34.1697,-118.6085,Blend
Customer 262,California,91367,34.1773,-118.6142,Blend
Customer 263,California,91387,34.3977,-118.3918,Blend
Customer 264,California,91392,34.3085,-118.4317,Blend
Customer 265,California,91402,34.224,-118.4451,Blend
Customer 266,California,91403,34.1475,-118.4632,Blend
Customer 267,California,91404,34.1826,-118.4487,Blend
Customer 268,California,91405,34.201,-118.448,Blend
Customer 269,California,91406,34.1974,-118.4902,Blend
Customer 270,California,91411,34.1779,-118.4597,Blend
Customer 271,California,91423,34.1491,-118.4325,Blend
Customer 272,California,91436,34.1515,-118.4913,Blend
Customer 273,California,91501,34.203,-118.3005,Blend
Customer 274,California,91502,34.1778,-118.3105,Blend
Customer 275,California,91505,34.1742,-118.346,Blend
Customer 276,California,91506,34.1713,-118.324,Blend
Customer 277,California,91601,34.1683,-118.3725,Blend
Customer 278,California,91602,34.1505,-118.3658,Blend
Customer 279,California,91604,34.1397,-118.3936,Blend
Customer 280,California,91605,34.2066,-118.4007,Blend
Customer 281,California,91607,34.166,-118.4006,Blend
Customer 282,California,91702,34.2515,-117.8802,Blend
Customer 283,California,91706,34.0925,-117.971,Blend
Customer 284,California,91710,34.0051,-117.679,Blend
Customer 285,California,91711,34.1399,-117.7107,Blend
Customer 286,California,91719,33.735688,-71.013202,Blend
Customer 287,California,91722,34.0974,-117.9073,Blend
Customer 288,California,91723,34.0846,-117.8867,Blend
Customer 289,California,91730,34.1002,-117.5802,Blend
Customer 290,California,91731,34.0788,-118.0397,Blend
Customer 291,California,91740,34.1162,-117.8613,Blend
Customer 292,California,91741,34.2059,-117.7614,Blend
Customer 293,California,91745,33.999,-117.977,Blend
Customer 294,California,91746,34.045,-117.9849,Blend
Customer 295,California,91748,33.9774,-117.8998,Blend
Customer 296,California,91750,34.1387,-117.7632,Blend
Customer 297,California,91754,34.0509,-118.1434,Blend
Customer 298,California,91755,34.0474,-118.1141,Blend
Customer 299,California,91762,34.0581,-117.6666,Blend
Customer 300,California,91763,34.0712,-117.698,Blend
Customer 301,California,91764,34.0755,-117.6036,Blend
Customer 302,California,91765,33.9862,-117.8194,Blend
Customer 303,California,91766,34.0396,-117.7574,Blend
Customer 304,California,91767,34.0815,-117.7389,Blend
Customer 305,California,91768,34.0646,-117.7906,Blend
Customer 306,California,91769,34.0603,-117.7584,Blend
Customer 307,California,91770,34.061,-118.0831,Blend
Customer 308,California,91773,34.1036,-117.8113,Blend
Customer 309,California,91775,34.1145,-118.0897,Blend
Customer 310,California,91776,34.0897,-118.0956,Blend
Customer 311,California,91786,34.1046,-117.6618,Blend
Customer 312,California,91788,34.0121,-117.8608,Blend
Customer 313,California,91789,34.021,-117.854,Blend
Customer 314,California,91790,34.067,-117.9379,Blend
Customer 315,California,91792,34.0218,-117.8949,Blend
Customer 316,California,91797,33.786594,-71.013202,Blend
Customer 317,California,91801,34.0907,-118.1284,Blend
Customer 318,California,91902,32.6712,-117.0125,Blend
Customer 319,California,91910,32.6383,-117.0571,Blend
Customer 320,California,91911,32.6041,-117.0349,Blend
Customer 321,California,91932,32.5767,-117.1199,Blend
Customer 322,California,91941,32.7603,-116.9927,Blend
Customer 323,California,91942,32.7779,-117.0228,Blend
Customer 324,California,91944,32.766,-117.0237,Blend
Customer 325,California,91950,32.6702,-117.0932,Blend
Customer 326,California,91978,32.7172,-116.9434,Blend
Customer 327,California,92002,33.198032,-71.013202,Blend
Customer 328,California,92008,33.149,-117.3128,Blend
Customer 329,California,92010,33.1656,-117.2993,Blend
Customer 330,California,92011,33.1114,-117.2936,Blend
Customer 331,California,92014,32.948,-117.2546,Blend
Customer 332,California,92019,32.7813,-116.8779,Blend
Customer 333,California,92020,32.7957,-116.9704,Blend
Customer 334,California,92021,32.8337,-116.8752,Blend
Customer 335,California,92024,33.054,-117.2466,Blend
Customer 336,California,92025,33.0695,-117.0118,Blend
Customer 337,California,92026,33.2159,-117.113,Blend
Customer 338,California,92027,33.1442,-116.9803,Blend
Customer 339,California,92028,33.4084,-117.3058,Blend
Customer 340,California,92029,33.0789,-117.1314,Blend
Customer 341,California,92030,33.1354,-117.0561,Blend
Customer 342,California,92036,32.9652,-116.3834,Blend
Customer 343,California,92037,32.8553,-117.2486,Blend
Customer 344,California,92038,32.847,-117.2728,Blend
Customer 345,California,92054,33.2032,-117.3539,Blend
Customer 346,California,92055,33.4213,-117.5523,Blend
Customer 347,California,92056,33.1987,-117.2878,Blend
Customer 348,California,92058,33.3213,-117.404,Blend
Customer 349,California,92064,32.9847,-117.0217,Blend
Customer 350,California,92065,33.0581,-116.8364,Blend
Customer 351,California,92067,33.0208,-117.2057,Blend
Customer 352,California,92069,33.1797,-117.1603,Blend
Customer 353,California,92071,32.8603,-116.9965,Blend
Customer 354,California,92075,32.9964,-117.2516,Blend
Customer 355,California,92078,33.1188,-117.1853,Blend
Customer 356,California,92081,33.163,-117.2413,Blend
Customer 357,California,92083,33.1967,-117.2489,Blend
Customer 358,California,92084,33.2236,-117.2072,Blend
Customer 359,California,92093,32.8743,-117.2372,Blend
Customer 360,California,92101,32.723,-117.1694,Blend
Customer 361,California,92102,32.7059,-117.117,Blend
Customer 362,California,92103,32.7467,-117.1659,Blend
Customer 363,California,92104,32.7419,-117.1283,Blend
Customer 364,California,92105,32.7379,-117.0936,Blend
Customer 365,California,92106,32.7134,-117.2362,Blend
Customer 366,California,92107,32.7411,-117.2436,Blend
Customer 367,California,92108,32.7763,-117.1377,Blend
Customer 368,California,92109,32.7935,-117.2346,Blend
Customer 369,California,92110,32.7644,-117.2029,Blend
Customer 370,California,92111,32.8267,-117.1594,Blend
Customer 371,California,92113,32.6962,-117.1181,Blend
Customer 372,California,92114,32.7081,-117.0557,Blend
Customer 373,California,92115,32.7605,-117.0714,Blend
Customer 374,California,92116,32.7642,-117.1228,Blend
Customer 375,California,92117,32.8245,-117.2003,Blend
Customer 376,California,92118,32.6849,-117.1852,Blend
Customer 377,California,92119,32.813,-117.0352,Blend
Customer 378,California,92120,32.795,-117.0724,Blend
Customer 379,California,92121,32.891,-117.1862,Blend
Customer 380,California,92122,32.8575,-117.2085,Blend
Customer 381,California,92123,32.8154,-117.1319,Blend
Customer 382,California,92124,32.8363,-117.0839,Blend
Customer 383,California,92126,32.9113,-117.1415,Blend
Customer 384,California,92127,33.0226,-117.1223,Blend
Customer 385,California,92128,32.9972,-117.0725,Blend
Customer 386,California,92129,32.9671,-117.1322,Blend
Customer 387,California,92130,32.9518,-117.2071,Blend
Customer 388,California,92131,32.902,-117.0622,Blend
Customer 389,California,92133,32.733507,-71.013202,Blend
Customer 390,California,92134,32.7256,-117.1445,Blend
Customer 391,California,92137,32.7463,-117.2007,Blend
Customer 392,California,92138,32.7463,-117.2007,Blend
Customer 393,California,92139,32.6804,-117.0486,Blend
Customer 394,California,92154,32.5706,-116.9698,Blend
Customer 395,California,92161,32.8716,-117.2376,Blend
Customer 396,California,92182,32.7716,-117.0719,Blend
Customer 397,California,92201,33.7117,-115.7,Blend
Customer 398,California,92202,33.7162,-116.2169,Blend
Customer 399,California,92203,33.7485,-116.2025,Blend
Customer 400,California,92210,33.7039,-116.3414,Blend
Customer 401,California,92211,33.7512,-116.3371,Blend
Customer 402,California,92220,33.913,-116.8504,Blend
Customer 403,California,92223,33.9425,-116.9928,Blend
Customer 404,California,92231,32.6828,-115.7658,Blend
Customer 405,California,92234,33.8129,-116.4669,Blend
Customer 406,California,92240,33.9749,-116.4924,Blend
Customer 407,California,92243,32.7747,-115.6008,Blend
Customer 408,California,92251,32.8653,-115.8248,Blend
Customer 409,California,92252,34.1506,-116.265,Blend
Customer 410,California,92260,33.7067,-116.3994,Blend
Customer 411,California,92262,33.8537,-116.5826,Blend
Customer 412,California,92264,33.769,-116.546,Blend
Customer 413,California,92268,34.1828,-116.5787,Blend
Customer 414,California,92270,33.7671,-116.4257,Blend
Customer 415,California,92277,34.2658,-115.7558,Blend
Customer 416,California,92307,34.5934,-117.1516,Blend
Customer 417,California,92310,35.4255,-116.6842,Blend
Customer 418,California,92314,34.2508,-116.8027,Blend
Customer 419,California,92316,34.0568,-117.3943,Blend
Customer 420,California,92324,34.0282,-117.2766,Blend
Customer 421,California,92335,34.0871,-117.4657,Blend
Customer 422,California,92344,34.3897,-117.4112,Blend
Customer 423,California,92345,34.3444,-117.3133,Blend
Customer 424,California,92346,34.1582,-117.1374,Blend
Customer 425,California,92350,35.0171,-115.6173,Blend
Customer 426,California,92354,34.0464,-117.252,Blend
Customer 427,California,92357,34.0507,-117.2523,Blend
Customer 428,California,92359,34.1164,-117.0299,Blend
Customer 429,California,92363,34.6829,-114.6,Blend
Customer 430,California,92373,34.0116,-117.161,Blend
Customer 431,California,92374,34.0696,-117.1716,Blend
Customer 432,California,92376,34.1132,-117.3771,Blend
Customer 433,California,92377,34.1525,-117.3994,Blend
Customer 434,California,92392,34.4787,-117.4034,Blend
Customer 435,California,92395,34.5036,-117.2964,Blend
Customer 436,California,92399,34.0443,-116.9969,Blend
Customer 437,California,92404,34.1842,-117.2631,Blend
Customer 438,California,92405,34.1448,-117.3015,Blend
Customer 439,California,92408,34.0839,-117.2656,Blend
Customer 440,California,92411,34.1221,-117.3226,Blend
Customer 441,California,92415,34.1064,-117.2893,Blend
Customer 442,California,92501,33.9961,-117.3732,Blend
Customer 443,California,92503,33.8872,-117.452,Blend
Customer 444,California,92505,33.9296,-117.4939,Blend
Customer 445,California,92506,33.9336,-117.3651,Blend
Customer 446,California,92507,33.9769,-117.3246,Blend
Customer 447,California,92509,34.0027,-117.4475,Blend
Customer 448,California,92543,33.7077,-116.9771,Blend
Customer 449,California,92545,33.7338,-117.0372,Blend
Customer 450,California,92553,33.9228,-117.2452,Blend
Customer 451,California,92562,33.5477,-117.3062,Blend
Customer 452,California,92563,33.5807,-117.1467,Blend
Customer 453,California,92586,33.7066,-117.1985,Blend
Customer 454,California,92590,33.4829,-117.2224,Blend
Customer 455,California,92591,33.5358,-117.1036,Blend
Customer 456,California,92592,33.5207,-117.033,Blend
Customer 457,California,92595,33.6163,-117.2626,Blend
Customer 458,California,92604,33.6881,-117.7892,Blend
Customer 459,California,92606,33.6992,-117.8158,Blend
Customer 460,California,92610,33.687,-117.6691,Blend
Customer 461,California,92612,33.6596,-117.8283,Blend
Customer 462,California,92614,33.6818,-117.8337,Blend
Customer 463,California,92617,33.6423,-117.8429,Blend
Customer 464,California,92618,33.6679,-117.7367,Blend
Customer 465,California,92625,33.6022,-117.864,Blend
Customer 466,California,92626,33.6786,-117.908,Blend
Customer 467,California,92627,33.6467,-117.9206,Blend
Customer 468,California,92629,33.4772,-117.7042,Blend
Customer 469,California,92630,33.6471,-117.6838,Blend
Customer 470,California,92635,33.573176,-71.013202,Blend
Customer 471,California,92637,33.6088,-117.7293,Blend
Customer 472,California,92646,33.6648,-117.9674,Blend
Customer 473,California,92647,33.7239,-118.0063,Blend
Customer 474,California,92648,33.6813,-118.009,Blend
Customer 475,California,92649,33.724,-118.0467,Blend
Customer 476,California,92651,33.561,-117.7719,Blend
Customer 477,California,92653,33.5946,-117.7019,Blend
Customer 478,California,92656,33.5672,-117.7329,Blend
Customer 479,California,92658,33.6391,-117.8647,Blend
Customer 480,California,92660,33.6346,-117.8741,Blend
Customer 481,California,92661,33.6014,-117.9006,Blend
Customer 482,California,92663,33.6232,-117.9298,Blend
Customer 483,California,92670,33.870714,-71.013202,Blend
Customer 484,California,92672,33.4304,-117.6082,Blend
Customer 485,California,92673,33.4679,-117.611,Blend
Customer 486,California,92675,33.5463,-117.5509,Blend
Customer 487,California,92677,33.5274,-117.7039,Blend
Customer 488,California,92679,33.63,-117.5786,Blend
Customer 489,California,92680,33.792124,-71.013202,Blend
Customer 490,California,92683,33.7539,-118.0043,Blend
Customer 491,California,92688,33.6267,-117.612,Blend
Customer 492,California,92691,33.6111,-117.6665,Blend
Customer 493,California,92692,33.604,-117.6446,Blend
Customer 494,California,92697,33.6472,-117.8462,Blend
Customer 495,California,92701,33.7481,-117.8581,Blend
Customer 496,California,92702,33.7502,-117.8664,Blend
Customer 497,California,92703,33.7484,-117.9058,Blend
Customer 498,California,92704,33.7201,-117.9081,Blend
Customer 499,California,92705,33.7558,-117.814,Blend
Customer 500,California,92706,33.7657,-117.8823,Blend
Customer 501,California,92707,33.7119,-117.8709,Blend
Customer 502,California,92708,33.7104,-117.9509,Blend
Customer 503,California,92780,33.7338,-117.8189,Blend
Customer 504,California,92782,33.734,-117.7926,Blend
Customer 505,California,92801,33.8448,-117.9513,Blend
Customer 506,California,92802,33.8076,-117.9237,Blend
Customer 507,California,92804,33.8185,-117.9748,Blend
Customer 508,California,92805,33.8298,-117.9057,Blend
Customer 509,California,92806,33.8383,-117.8712,Blend
Customer 510,California,92807,33.8459,-117.7842,Blend
Customer 511,California,92808,33.8407,-117.7051,Blend
Customer 512,California,92821,33.9276,-117.8845,Blend
Customer 513,California,92831,33.8793,-117.8962,Blend
Customer 514,California,92832,33.8678,-117.9297,Blend
Customer 515,California,92834,33.8741,-117.9026,Blend
Customer 516,California,92835,33.9012,-117.9168,Blend
Customer 517,California,92840,33.7859,-117.9325,Blend
Customer 518,California,92843,33.764,-117.9315,Blend
Customer 519,California,92844,33.7654,-117.9698,Blend
Customer 520,California,92845,33.7836,-118.0279,Blend
Customer 521,California,92863,33.8051,-117.8357,Blend
Customer 522,California,92866,33.7844,-117.8448,Blend
Customer 523,California,92868,33.7876,-117.8762,Blend
Customer 524,California,92869,33.7969,-117.7856,Blend
Customer 525,California,92870,33.8912,-117.8517,Blend
Customer 526,California,92879,33.8789,-117.5354,Blend
Customer 527,California,92880,33.9212,-117.6124,Blend
Customer 528,California,92881,33.8406,-117.5301,Blend
Customer 529,California,92882,33.8518,-117.6069,Blend
Customer 530,California,92886,33.8999,-117.7945,Blend
Customer 531,California,92887,33.8849,-117.7332,Blend
Customer 532,California,93003,34.2915,-119.2184,Blend
Customer 533,California,93004,34.2834,-119.1677,Blend
Customer 534,California,93009,34.2728,-119.2139,Blend
Customer 535,California,93010,34.2317,-119.0689,Blend
Customer 536,California,93011,34.2223,-119.0419,Blend
Customer 537,California,93012,34.2082,-118.9924,Blend
Customer 538,California,93013,34.4253,-119.5231,Blend
Customer 539,California,93015,34.5281,-118.8892,Blend
